id,title,released,overall,reviews,tags
384960,Vengeance,"29 Apr, 2020",Very Positive,310,"Early Access, Action, Indie, Strategy, FPS, Multiplayer, Shooter, First-Person, Casual, Arena Shooter, Massively Multiplayer, PvP, 3D, Old School, War, Violent, Team-Based, Combat, Singleplayer, Modern"
2843740,The Texas Chain Saw Massacre - Weapon Skin Variants,"22 Feb, 2024",Positive,11,"Action, Indie, Horror, Gore, Multiplayer, Survival Horror, Team-Based, Violent, PvP, Third Person, Survival, Stealth, Asynchronous Multiplayer, Blood, Cinematic, Atmospheric, 3D, Nudity, Psychological Horror, Strategy"
2640910,Yeetus,"15 Dec, 2023",Positive,20,"Action Roguelike, Action, Bullet Hell, Indie, Singleplayer, Action RPG, Strategy, Shooter, Roguelite, 3D, Adventure, Arcade, Controller"
17710,Nuclear Dawn,"26 Sep, 2011",Mostly Positive,1572,"Strategy, FPS, Action, RTS, Multiplayer, Post-apocalyptic, Sci-fi, Shooter, Tactical, First-Person, Team-Based, Indie, Real-Time, Futuristic, Dystopian , Real Time Tactics, 3D, Top-Down, Alternate History, Base Building"
1127110,Outpost,"1 May, 2020",Very Positive,684,"Free to Play, Indie, Strategy, Tower Defense, Survival, Roguelike, Singleplayer, Roguelite, Casual, Top-Down, Open World, Procedural Generation, Building, Base Building, Sandbox, Crafting, Asynchronous Multiplayer, 3D, Adventure, Action"
217270,Karateka,"3 Dec, 2012",Mostly Positive,159,"Action, Indie, Strategy, Remake, Fighting, Martial Arts, Rhythm, Arcade, Classic, Side Scroller, Retro, 3D Fighter, 1980s, Cult Classic, Colorful, 3D, Anime, Old School, Combat, Great Soundtrack"
2595080,Banana Co.,"23 Nov, 2023",Positive,12,"Strategy, Adventure, 3D, Dark, Horror, Tactical, Thriller, Indie, Action, Singleplayer"
35460,The Ball,"26 Oct, 2010",Mostly Positive,773,"3D Platformer, Puzzle Platformer, First-Person, Puzzle, Strategy, Action, Indie, Sci-fi, Adventure, Physics, Singleplayer, 3D, Logic, Controller, Underground, Horror, FPS, Exploration, Atmospheric, Anime"
845040,AegisM,"27 Jul, 2018",Positive,31,"Tower Defense, Multiplayer, Real Time Tactics, Strategy, Action, 3D, Isometric, Early Access, Indie, Shoot 'Em Up, Cartoony, Colorful, Stylized, Top-Down, Atmospheric, Building, Family Friendly, Logic, Management, Military"
1141570,Sky Cannoneer,"20 Feb, 2020",Mostly Positive,16,"Action, Strategy, Indie, Sci-fi, Arcade, Tower Defense, Tactical, Fantasy, Funny, Singleplayer, 3D, Classic, Female Protagonist, Local Multiplayer, RTS, Top-Down Shooter, Replay Value, Choices Matter, PvP, Multiplayer"
