game_id,title,released,price,overall,positive%,reviews,tags
1057090,Ori and the Will of the Wisps,"10 Mar, 2020","250.000,00₫",Overwhelmingly Positive,0.96,115281,"Beautiful, Metroidvania, Platformer, Great Soundtrack, Singleplayer, Action, Adventure, Atmospheric, Story Rich, Exploration, Cute, Action-Adventure, Puzzle, Emotional, 2D, Difficult, Indie, Fantasy, Open World, Souls-like"
692890,Roboquest,"7 Nov, 2023","258.000,00₫",Overwhelmingly Positive,0.95,11394,"FPS, Action Roguelike, Roguelite, Co-op, Shooter, Online Co-Op, Fast-Paced, Looter Shooter, Post-apocalyptic, Bullet Hell, Action, Indie, Sci-fi, Stylized, Perma Death, Multiplayer, Colorful, First-Person, Singleplayer, Roguelike"
1244090,Sea of Stars,"28 Aug, 2023","445.000,00₫",Very Positive,0.88,7044,"RPG, Pixel Graphics, Turn-Based Combat, Adventure, JRPG, Story Rich, 2D, Turn-Based, Retro, Singleplayer, Fantasy, Indie, Lore-Rich, Funny, Comedy, Exploration, Colorful, Emotional, Female Protagonist, Kickstarter"
1217060,Gunfire Reborn,"17 Nov, 2021","260.000,00₫",Very Positive,0.93,79816,"Roguelite, FPS, Online Co-Op, Co-op, Roguelike, Multiplayer, Looter Shooter, Indie, Action, Adventure, RPG, Shooter, Action Roguelike, First-Person, Dungeon Crawler, Replay Value, Singleplayer, Early Access, Fast-Paced, Loot"
632470,Disco Elysium - The Final Cut,"15 Oct, 2019","310.000,00₫",Very Positive,0.93,82679,"RPG, Story Rich, Choices Matter, Detective, Isometric, Atmospheric, Singleplayer, CRPG, Point & Click, Noir, Surreal, Exploration, Political, Visual Novel, Adventure, Indie, Funny, Open World, Character Customization, Sexual Content"
1794680,Vampire Survivors,"20 Oct, 2022","70.000,00₫",Overwhelmingly Positive,0.98,215034,"Action Roguelike, Bullet Hell, Pixel Graphics, Roguelite, 2D, Indie, Vampire, Singleplayer, Casual, Arcade, Action, RPG, Controller, Retro, Score Attack, Roguelike, Action RPG, Dark Fantasy, Local Co-Op, 1980s"
379430,Kingdom Come: Deliverance,"13 Feb, 2018","499.500,00₫",Very Positive,0.82,90248,"Medieval, RPG, Open World, Singleplayer, Realistic, Historical, Story Rich, Adventure, First-Person, Swordplay, Action, Nudity, Choices Matter, Choose Your Own Adventure, Atmospheric, Horses, Action RPG, Indie, Crowdfunded, Kickstarter"
1222700,A Way Out,"18 Jun, 2020","700.000,00₫",Very Positive,0.85,39442,"Online Co-Op, Co-op, Split Screen, Story Rich, Local Co-Op, Action-Adventure, Multiplayer, Action, Adventure, Crime, Third Person, Emotional, Conversation, Atmospheric, Nudity, Cinematic, Sexual Content, Violent, Singleplayer, Indie"
477160,Human Fall Flat,"22 Jul, 2016","198.000,00₫",Very Positive,0.94,152043,"Co-op, Funny, Puzzle, Adventure, Physics, Sandbox, Action, Puzzle Platformer, Open World, Multiplayer, Local Co-Op, Indie, Comedy, Local Multiplayer, Parkour, Casual, Split Screen, 3D Platformer, Singleplayer, Simulation"
2004210,Euro Truck Simulator 2 - West Balkans,"19 Oct, 2023","249.000,00₫",Very Positive,0.83,1342,"Simulation, Indie, Driving, Multiplayer, Open World, Transportation, First-Person, Singleplayer, Automobile Sim, Realistic, Adventure, Moddable"
613100,House Flipper,"17 May, 2018","321.000,00₫",Very Positive,0.93,75686,"Simulation, Design & Illustration, Building, Singleplayer, Relaxing, Sandbox, Casual, Immersive Sim, Education, Management, First-Person, Economy, Family Friendly, Replay Value, Base Building, 3D, Realistic, Indie, Multiplayer, Moddable"
361420,ASTRONEER,"5 Feb, 2019","385.000,00₫",Very Positive,0.92,99254,"Multiplayer, Open World, Open World Survival Craft, Survival, Space, Exploration, Base Building, Co-op, Sandbox, Adventure, Building, Crafting, Sci-fi, Automation, Singleplayer, Colorful, Third Person, Atmospheric, Simulation, Indie"
1158160,Coral Island,"14 Nov, 2023","385.000,00₫",Very Positive,0.88,12508,"Farming Sim, Life Sim, Relaxing, Simulation, Dating Sim, Agriculture, RPG, Crafting, Building, Singleplayer, Character Customization, Sandbox, Open World, Casual, Adventure, Indie, Fishing, Mining, Cartoony, LGBTQ+"
1084600,My Time at Sandrock,"2 Nov, 2023","549.000,00₫",Very Positive,0.88,19200,"Life Sim, Building, Sandbox, Farming Sim, Crafting, Multiplayer, RPG, Dating Sim, Open World, Character Customization, Mining, Post-apocalyptic, Casual, Simulation, Adventure, Singleplayer, Female Protagonist, Cartoony, Early Access, Indie"
371970,Barony,"23 Jun, 2015","260.000,00₫",Very Positive,0.92,4848,"Action Roguelike, Dungeon Crawler, Fantasy, Co-op Campaign, Immersive Sim, Local Co-Op, First-Person, Online Co-Op, Split Screen, Co-op, RPG, Roguelike, Difficult, 4 Player Local, Action RPG, Pixel Graphics, Voxel, Singleplayer, Moddable, Indie"
1167630,Teardown,"21 Apr, 2022","445.000,00₫",Overwhelmingly Positive,0.95,80926,"Destruction, Physics, Sandbox, Voxel, First-Person, Singleplayer, Heist, Open World, Realistic, Simulation, 3D, Action, Puzzle, Driving, Indie, Tactical, Replay Value, Immersive Sim, Puzzle Platformer, Runner"
244850,Space Engineers,"28 Feb, 2019","260.000,00₫",Very Positive,0.89,91361,"Space, Sandbox, Building, Open World Survival Craft, Multiplayer, Survival, Simulation, Open World, Physics, Crafting, Destruction, Co-op, Futuristic, Indie, Sci-fi, Singleplayer, Action, Strategy, Adventure, Early Access"
1426300,The Binding of Isaac: Repentance,"31 Mar, 2021","580.000,00₫",Very Positive,0.81,11235,"Action, Adventure, RPG, Roguelike, Difficult, Replay Value, Action Roguelike, Indie, Gore, Pixel Graphics, Singleplayer, Multiplayer, Dungeon Crawler, 2D, Roguelite, Dark, Procedural Generation, Great Soundtrack, Horror, Atmospheric"
860510,Little Nightmares II,"10 Feb, 2021","380.000,00₫",Very Positive,0.94,28506,"Horror, Adventure, Singleplayer, Puzzle, Dark, Atmospheric, Story Rich, Psychological Horror, Stealth, Action-Adventure, Puzzle Platformer, Indie, Platformer, Multiplayer, Great Soundtrack, 2.5D, Thriller, Action, Co-op, Violent"
2231450,Pizza Tower,"26 Jan, 2023","188.000,00₫",Overwhelmingly Positive,0.98,48866,"Great Soundtrack, 2D Platformer, Fast-Paced, Cartoony, Indie, Platformer, Comedy, Singleplayer, Funny, Pixel Graphics, Action, 2D, Epic, Colorful, Difficult, Retro, 1990's, Adventure, Memes, War"
